Title,Condition,Rating,Price,Shipping,Location,Sold Date
Jack Hughes Signed 2019/20 Upper Deck Young Guns Card #201 PSA/DNA,Pre-Owned,5.0,799.99,6.44,Located in United States,"May 5, 2026"
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC) PSA 10 Gem Mint,New (Other),5.0,349.99,5.72,Located in United States,"May 4, 2026"
2019 Upper Deck #250 Jack Hughes & Quinn Hughes Young Guns Auto Psa GEM MT 10/9,New (Other),,2800.0,6.5,Located in United States,"May 3, 2026"
CONNOR MCDAVID 2015-16 Upper Deck Young Guns UD Canvas PSA 10 Rookie #C211 RC,New (Other),,1645.09,57.41,Located in Canada,"Apr 23, 2026"
2019-20 Upper Deck - Young Guns Jack Hughes #201 Speckled Rainbow Foil (RC),New (Other),,525.0,8.95,Located in United States,"Apr 24, 2026"
2019-20 Upper Deck JACK HUGHES YOUNG GUNS ROOKIE SPECKLED RAINBOW FOIL PSA 9 RC,New (Other),,750.0,5.97,Located in United States,"Mar 28, 2026"
2019-20 Upper Deck Jack Hughes #201 Clear Cut Young Guns Rookie PSA 10,New (Other),,1199.86,0.0,Located in United States,"Apr 23, 2026"
2019-20 Upper Deck Quinn Hughes Young Guns Rookie Ygs Yg RC #249 PSA 10 GEM MINT,New (Other),5.0,319.99,6.0,Located in United States,"Apr 22, 2026"
2019-20 Upper Deck Speckled Rainbow Foil Jack Hughes & Quinn PSA 10 GEM MT 10aa,New (Other),,428.0,4.99,Located in United States,"Apr 19, 2026"
2019-20 Jack Hughes UD Young Guns Speckled Rainbow PSA 10!,New (Other),,1999.0,5.97,Located in United States,"Apr 18, 2026"
2019-20 Upper Deck Jack Hughes Young Guns Rookie RC Silver Foil #201 PSA 10,New (Other),,1399.99,4.5,Located in United States,"Apr 17, 2026"
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC).,New (Other),5.0,400.0,10.0,Located in United States,"Apr 14, 2026"
"2019-20 Upper Deck Jack Hughes, Quinn Hughes Young Guns Rookie Dual Auto PSA",New (Other),,750.0,0.0,Located in United States,"Apr 6, 2026"
2019-20 Series 1 Jack Hughes Young Guns Psa 10,New (Other),,329.02,14.62,Located in Canada,"Feb 22, 2026"
"2019-20 UD Series 1 Jack, Quinn Hughes YG Checklist in Person Dual Auto PSA Auth",New (Other),,599.95,5.95,Located in Canada,"Apr 5, 2026"
2019 Jack Hughes RC PSA 10 -more rare Young Guns Rookie Serial #/999 GEM 03,New (Other),,359.0,5.49,Located in United States,"Apr 4, 2026"
2019 Jack Hughes RC PSA 10 -more RARE Young Guns Rookie Serial # NHL GEM,New (Other),,389.0,5.49,Located in United States,"Mar 25, 2026"
2019-20 Upper Deck Signed Jack Hughes Young Guns RC JUMBO Oversize Card PSA Auto,Pre-Owned,,596.99,8.75,Located in United States,"Mar 23, 2026"
2019 Jack Hughes RC PSA 10 -more rare than Young Guns Rookie Serial # NHL GEM,New (Other),,449.0,5.49,Located in United States,"Mar 16, 2026"
JACK HUGHES 2019-20 Upper Deck YOUNG GUNS Clear Cut ROOKIE PSA 10 Gem Mint SP RC,New (Other),,1678.0,18.24,Located in Canada,"Mar 16, 2026"
2019 Jack Hughes Young Guns PSA 10 AUTO 10 Rookie RC,New (Other),5.0,1799.99,4.99,Located in United States,"Feb 23, 2026"
2024-2025 Upper Deck Jack Hughes Retro Young Guns Outburst Silver PSA 10 GEM SSP,New (Other),,686.0,6.07,Located in United States,"Mar 14, 2026"
2019 Upper Deck Jack Hughes Young Guns Speckled Rainbow Foil PSA 9 #201 Devils,New (Other),,450.0,6.49,Located in United States,"Mar 11, 2026"
✅ 2019-20 Upper Deck Young Guns JACK HUGHES PSA 10 #201 New Jersey Devils 🥇,New (Other),5.0,324.0,5.24,Located in United States,"Mar 9, 2026"
Jack Hughes 2019-20 Upper Deck #201 UD Signed Rookie Card Auto (RC) BGS 9.5 10,New (Other),5.0,999.99,0.0,Located in United States,"Mar 6, 2026"
2019-20 Upper Deck Young Guns #201 Jack Hughes PSA 10 Rookie USA GOLDEN GOAL RC,New (Other),5.0,325.0,4.47,Located in United States,"Feb 28, 2026"
2019 PSA 10 JACK HUGHES FUTURE WATCH AUTO + YOUNG GUNS ROOKIE RC GOLDEN GOAL USA,New (Other),,1999.99,50.0,Located in Hong Kong,"Feb 27, 2026"
JACK HUGHES 2019 UPPER DECK Series 1 #201 YOUNG GUNS RC NJ DEVILS PSA 10 💎,New (Other),,349.99,9.45,Located in United States,"Feb 26, 2026"
2019-20 Upper Deck Jack Hughes Young Guns Rookie Ygs Yg RC #201 PSA 10 GEM MINT,New (Other),5.0,318.6,6.0,Located in United States,"Feb 26, 2026"
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC) PSA 10,New (Other),5.0,315.0,0.0,Located in United States,"Feb 26, 2026"
🥇🔥Jack Hughes-2019-20 Upper Deck - Silver Foil Young Guns PSA 10! Low POP!🔥🥇,New (Other),,1400.0,0.0,Located in United States,"Feb 26, 2026"
